0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
51,CN85107459A,冶金部包头钢铁设计研究院,带短路圈的频敏转差率调节器,转差率|短路|调节器,提高业率|发方便|构简单方便|充分利用|容易维护|简单容|明结构简单|本结构简单|本简单制造|改善性|本简单方便|增加成分|简单便|简单制容易|提高数|容易方便|制造方便|增加功率|调节性能|调节能|能充分利用|简单维护|提高功率数|提高产量|简单易|到充分利用|提高率|简单容易|简单易方便|简单易高|简单制方便|结构方便|本简单容易|结构简单|提高功率|高提高|构简单|简单方便|简单制造|明简单|本简单维护|提高产|简单制|简单容维护|地增加|提高条件|本简单制|提高量,,特别|转差率|调节器,51.111111111111114
52,CN85107680A,李利,运载工具用的内燃机脉冲工作节油装置,内燃机|脉冲工作|运载工具|节油,较提高|提高性|提性能|本提高性能|提高经济性|提高性能|大提高性|显著降|提高能|用提高性能|降低物|较大提高|显著降低|地提高性|大提高|利用性|经济性|大提高性能|地提高|幅度提高|提高经济,,内燃机|脉冲工作|运载工具|工况,51.111111111111114
53,CN85102797A,内蒙古自治区电子研究所,低压直流点燃直管形荧光灯的方法及其使用的变流器,低压直流|变流器|电子|直管形|荧光灯|点燃,提高光|提高效|提高光效,,电子,51.111111111111114
54,CN85100823B,华中工学院,后置导叶翼型斜流式风机,后置|风机|导叶|翼型|流式,,,后置|风机|导叶|翼型|流式,50.0
55,CN85100823A,华中工学院,后置导叶翼型斜流式风机,后置|日本|风机|理论|通风机|IN|倾斜|轴流风机|翼型|导叶|流式|设计方案|西德|埃克|计算|叶片式,,,后置|日本|风机|理论|通风机|IN|倾斜|轴流风机|翼型|导叶|流式|设计方案|西德|埃克|计算|叶片式,50.0
56,CN85102442A,福建省机械科学研究院,稻麦呈直立的收获输送流程及其机器,收获|稻麦|机器|半喂入|收割|输送|直立,降成本,,收割|稻麦|半喂入,50.0
57,CN85102442B,福建省机械科学研究院,直立输送禾杆的联合收割机,半喂入|禾杆|联合收割机|谷物|联合|机械化收获|输送|直立,降成本|调方便|降低用|结构简单|构简单,,谷物|联合|半喂入|机械化收获,50.0
58,CN85100840A,张启风,旋转冲击式凿岩机,特别|旋转冲击|采矿|凿岩机|旋转冲击式|采石,平衡提高|降低成本|降成本|增加功率|低成本|明降低|降低能|方便用|降低能源|和提高,,特别|旋转冲击|采矿|凿岩机|采石,50.0
59,CN85100678B,铁道部科学研究院机车车辆研究所,(双)波峰有内凹的挠性元件,仪器仪表|通用机械|元件|原子能|圆筒|敏感元件|膨胀节|圆柱形|密封元件|补偿元件|广泛|自动控制|动力机械|波峰|化工|单元|减振元件|炼油|联接件|挠性,,,仪器仪表|通用机械|元件|原子能|圆筒|敏感元件|膨胀节|圆柱形|密封元件|补偿元件|广泛|自动控制|动力机械|化工|单元|减振元件|炼油|联接件|挠性,50.0
60,CN85100037A,清华大学,焊接电源外特性控制法，弧焊机及其电路,控制法|电路|弧焊机|焊接电源,提供特性|提供性|提供动|提供电|可自动,,焊接电源,50.0
61,CN85100186B,西北工业大学$$宝鸡消防器材厂,组合式火药燃气发生器发射灭火干粉的方法与装置,粉剂|火灾|火药|组合式|扑火|电器|干粉|灭火|发射|燃气发生器,明简单|明结构简单|本结构简单|维护方便|结构简单|构简单,,粉剂|火灾|扑火|电器,50.0
62,CN85100275B,北京大学$$潍坊电子计算机公司,照排机和印字机共享的字形发生器和控制器,照排机|发生器|中等|分辨率|高质量|激光|控制器|办公室|发明|计算机|字形|高分辨率|汉宇|共享|汉字|校对|前者|印字机,快速低|降低小高|快提高|快速提高|加快速度|快速小立|快速提|速度降低|降低小|降低高效|提效益|提高效|快速小|低高效|快速降低|降低造价|降低体积|快速高效|低提高|快速降,,中等|分辨率|高质量|激光|办公室|发明|计算机|字形|高分辨率|汉宇|校对|前者|汉字,50.0
63,CN85100841B,北京有色金属研究总院,一种用于伴有沉淀生成和分离的溶剂萃取方法和装置,分离|澄清型|混合|溶剂萃取|沉淀,适应性强耐|提供性|提效率|提供效率高|提供量|提供强|效率分离|提供设|高自适应|适应性强|效率大|提供能|提供高|适应设备|强设备|效率性|效率高|提供效率|效率性强|提供大|效率高的|提供设备|适应性能|提供备|适应强|提供性强|效率强|强耐好,,分离|澄清型|混合|溶剂萃取|沉淀,50.0
64,CN85100223B,武汉大学$$湖北省农科院$$湖北省林科所,饲养赤眼蜂的人工寄主卵卡,人工|寄主|赤眼蜂|饲养|分类号|国际|发明|AOI|动物饲养|卵卡,,,分类号|AOI|国际|发明|动物饲养,50.0
65,CN85105662B,浙江大学,同步——异步变速恒频发电机,异步|恒频发电|同步|变速,制造方便|发方便,,,50.0
66,CN85102613A,徐庭中,通用螺钉、螺钉起,机械|通用|螺钉,方便快|功效高,,机械,50.0
67,CN85103272A,吴建中,环形涨式制动器,涨式|车轮|制动器|汽车|环形,效率高简单|高均匀|效率低均匀|低中均匀|效率高低廉|高低廉|构造简单|简单调整|其优点是|制动效率|构造简单低|方便地|方便地收|方便装|简单低|高简单低廉|方便有|大简单|高造价低|效率高均匀|方便地放|动效率高|构简单低廉|简单造价低|简单制动力|效率简单|构造简单制|简单廉|低均匀|方便地升|简单调|简单平|简单平衡|方便地输|面积效率高|方便地访|方便机动|方便改装|效率高|大效率|简单间隙|高简单|简单低廉|低廉均匀|间隙均匀|效率用|简单低廉需|方便地测|方便用|大效率高|构简单|高简单低|简单中|方便地育|制简单低廉|要简单|效率低|简单制|简单均匀|方便地有|动简单|简单需|效率高用|方便地撑|方便动|大造价低|大简单低廉|造价低廉,,汽车|制动器|车轮,50.0
68,CN85100999A,郑州工学院,“变匝调速”法及其变匝电动机与开关,电动机|调速,维修方便|制造方便|方便行|结构简单|方便运行|构简单|方便便宜,,,50.0
69,CN85100424A,上海医疗器械研究所,恶性肿瘤固有荧光诊断仪,固有荧光|医用诊断|恶性肿瘤|诊断仪,快速简便|快速无损|快速无|快速无损伤,,医用诊断,50.0
70,CN85100357A,陈家山,脉冲气流沉桩法,钢筋混凝土|海域|沉桩|相应|沉积层|新型|江河|预制|脉冲气流|大陆架,,,钢筋混凝土|海域|沉桩|相应|沉积层|新型|江河|预制|大陆架,50.0
